record_id,title,source_name,source_type,state_territory,date_band,year,ontology_code,url
1874,giant in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,giant_or_ogre_narrative,https://gutenberg.net.au/ebooks06/0602691.txt
1875,giant in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,giant_or_ogre_narrative,https://gutenberg.net.au/ebooks06/0602691.txt
1876,wild man in Old Tales of a Young Country,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1871,spirit_person_narrative,https://gutenberg.net.au/ebooks06/0602691.txt
656,1872 - Monaro Mercury,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1872,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1650-monaro-mercury-1872
2260,embodied ghost in Human Repetends,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1872,apparition_account,https://gutenberg.net.au/ebooks06/0601221.txt
2261,ghost in Human Repetends,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1872,apparition_account,https://gutenberg.net.au/ebooks06/0601221.txt
2262,haunted in Human Repetends,Project Gutenberg Australia,public_domain_ebook,,anchor_1842_1875,1872,spirit_person_narrative,https://gutenberg.net.au/ebooks06/0601221.txt
2583,spirits in Shearing in the Riverina,Project Gutenberg,public_domain_ebook,NSW,anchor_1842_1875,1872,retelling_or_adaptation,https://www.gutenberg.org/ebooks/4221.txt.utf-8
2584,spirits in Shearing in the Riverina,Project Gutenberg,public_domain_ebook,NSW,anchor_1842_1875,1872,retelling_or_adaptation,https://www.gutenberg.org/ebooks/4221.txt.utf-8
2585,spirits in Shearing in the Riverina,Project Gutenberg,public_domain_ebook,NSW,anchor_1842_1875,1872,retelling_or_adaptation,https://www.gutenberg.org/ebooks/4221.txt.utf-8
2586,giant in Shearing in the Riverina,Project Gutenberg,public_domain_ebook,NSW,anchor_1842_1875,1872,retelling_or_adaptation,https://www.gutenberg.org/ebooks/4221.txt.utf-8
657,1874 - Cooma Express,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1874,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1651-cooma-express-1874
857,1874 - Pyramul Hairyman Article,Australian Yowie Research,modern_web,NSW,anchor_1842_1875,1874,cryptid_style_apeman,https://www.yowiehunters.com.au/media-clips/1779-1874-pyramul-hairyman-article
3952,ghosts in For the Term of His Natural Life,Project Gutenberg,public_domain_ebook,TAS,anchor_1842_1875,1874,apparition_account,https://www.gutenberg.org/ebooks/3424.txt.utf-8
3953,ghosts in For the Term of His Natural Life,Project Gutenberg,public_domain_ebook,TAS,anchor_1842_1875,1874,apparition_account,https://www.gutenberg.org/ebooks/3424.txt.utf-8
3954,apparition in For the Term of His Natural Life,Project Gutenberg,public_domain_ebook,TAS,anchor_1842_1875,1874,spirit_person_narrative,https://www.gutenberg.org/ebooks/3424.txt.utf-8
